path,sha256,duration_s,sample_rate,channels,bitrate,size_bytes,source,drive_file_id,created_at
data/raw/2025/09/08/29e7742142413441df77a420567b653c481f96e2a7c799b7764cf34da62a3a2f__250822_1320.mp3,29e7742142413441df77a420567b653c481f96e2a7c799b7764cf34da62a3a2f,48.979625,44100,2,128669,787770,drive,1URHIsnPUQBfEVeJMMF4Lcjx95pUXiy2y,2025-09-08T05:06:55Z
data/raw/2025/09/08/428b1ef5c92dd7ecdc7c54107ecf2e046ef42251610c0ba12244412fa65b4205__250820_2009.mp3,428b1ef5c92dd7ecdc7c54107ecf2e046ef42251610c0ba12244412fa65b4205,184.398375,44100,2,128177,2954470,drive,1EO9viLJNaINnPz1pKWgbpTFKBmzvuTO6,2025-09-08T05:06:57Z
data/raw/2025/09/08/c3a3d60ba26fb94257a6f975143b6877602ca8a73186b4c2eada7301c86b4dd9__250820_2002.mp3,c3a3d60ba26fb94257a6f975143b6877602ca8a73186b4c2eada7301c86b4dd9,91.846563,44100,2,128356,1473641,drive,1urensLWnMDRCFzX2X-KxJ1cbCak3IhI4,2025-09-08T05:06:58Z
data/raw/2025/09/08/aff8ee3f05ba1de54c72dcd32caf0e47eef5033e08ba2d5322998d8017360fff__250820_2000.mp3,aff8ee3f05ba1de54c72dcd32caf0e47eef5033e08ba2d5322998d8017360fff,121.051438,44100,2,128270,1940919,drive,1Ldl-65CBGIqEtzkhCjrLeGrheJn7mP6C,2025-09-08T05:07:00Z
data/raw/2025/09/08/b675bdc693ef39b0d7dde73901250f95b12aee2e6b2491ef0c3fe11989caf4ff__250820_1957.mp3,b675bdc693ef39b0d7dde73901250f95b12aee2e6b2491ef0c3fe11989caf4ff,126.72,44100,2,128258,2031616,drive,1VLhMD1U19cLCL9w5ozQnURh_Y9oywdPB,2025-09-08T05:07:02Z
data/raw/2025/09/08/436386caea78dd252ff03f21db77ed3ad4d9264f6683832fd9b6a69480154deb__250820_1955.mp3,436386caea78dd252ff03f21db77ed3ad4d9264f6683832fd9b6a69480154deb,135.183688,44100,2,128242,2167035,drive,1r8AEhXpquidCUP08JYlqPmpEzjX2Cp2q,2025-09-08T05:07:04Z
data/raw/2025/09/08/52701f4fa2514351bde702af10f7d8b4f8ea12bae519d4cdbbf9b18df92e3c2b__250820_1952.mp3,52701f4fa2514351bde702af10f7d8b4f8ea12bae519d4cdbbf9b18df92e3c2b,172.225313,44100,2,128190,2759701,drive,1TEreHNTKsI5r5Q3u-bsgRPHCoAk1L1_o,2025-09-08T05:07:06Z
data/raw/2025/09/08/12084eba1a10ed7454625cd2739c2de098eb3f9270247626e60000aa72c44a2c__250820_1933.mp3,12084eba1a10ed7454625cd2739c2de098eb3f9270247626e60000aa72c44a2c,68.545313,44100,2,128478,1100821,drive,1lARCggYmORIuQmuUz-7wQzYFTyAE23Nq,2025-09-08T05:07:07Z
data/raw/2025/09/08/a7d56e4890a6cc957eb136ba881bebe96ade25bdffd8f9f1dae6dde525890b98__250820_1932.mp3,a7d56e4890a6cc957eb136ba881bebe96ade25bdffd8f9f1dae6dde525890b98,87.458,44100,2,128374,1403424,drive,1yp0T5-ERvGQGcLaR-y9oduNR1uEBeftq,2025-09-08T05:07:09Z
data/raw/2025/09/08/903172ffbbfb9d2ff7f7232c7e3467a7e190ddb09cc22eb64351081091dc1e23__250820_1600.mp3,903172ffbbfb9d2ff7f7232c7e3467a7e190ddb09cc22eb64351081091dc1e23,82.338,44100,2,128397,1321504,drive,1PNXV1sQindDf02bDbCSXui1lHiQAbiPa,2025-09-08T05:07:11Z
data/raw/2025/09/08/138515212831618930e641ff8b2effdc07997d1e4995e330554f72d0d472924b__250820_1548.mp3,138515212831618930e641ff8b2effdc07997d1e4995e330554f72d0d472924b,91.637563,44100,2,128357,1470297,drive,1mlfgpZPneLvoGlRXFj7es5z3IcQ7LWcK,2025-09-08T05:07:14Z
data/raw/2025/09/08/c352a5b75b40511bbbd6e6397cd488d411ce7fb4d47b6ccafe0a64cf20cfc4cf__250820_1544_01.mp3,c352a5b75b40511bbbd6e6397cd488d411ce7fb4d47b6ccafe0a64cf20cfc4cf,194.61225,44100,2,128168,3117892,drive,12q4X_7XWx1O0531mJib8UEOsZnBeEuYT,2025-09-08T05:07:17Z
data/raw/2025/09/08/93af91b2d487987837193951901b7bc2a92cd56a70972e922b34dd7a7e2f8914__250820_1544.mp3,93af91b2d487987837193951901b7bc2a92cd56a70972e922b34dd7a7e2f8914,32.783688,44100,2,128999,528635,drive,1mzIl3WY4XgL4mYOe2VeFy8YKo96K9EYq,2025-09-08T05:07:19Z
