,stoi,stoi,stoi,srmr,srmr,srmr,snr_db,snr_db,snr_db,si_sdr_db,si_sdr_db,si_sdr_db,lufs,lufs,lufs,delta_lufs,delta_lufs,delta_lufs,clip_rate,clip_rate,clip_rate
,count,median,mean,count,median,mean,count,median,mean,count,median,mean,count,median,mean,count,median,mean,count,median,mean
backend,,,,,,,,,,,,,,,,,,,,,
7.591,0,,,0,,,0,,,5,3.851,3.8608000000000002,0,,,0,,,0,,
8.262,0,,,0,,,0,,,1,4.037,4.037,0,,,0,,,0,,
9.221,0,,,0,,,0,,,5,3.385,3.4218,0,,,0,,,0,,
10.037,0,,,0,,,0,,,1,2.769,2.769,0,,,0,,,0,,
10.848,0,,,0,,,0,,,5,4.211,4.2424,0,,,0,,,0,,
11.624,0,,,0,,,0,,,2,2.7039999999999997,2.7039999999999997,0,,,0,,,0,,
11.625,0,,,0,,,0,,,1,2.551,2.551,0,,,0,,,0,,
11.808,0,,,0,,,0,,,1,4.07,4.07,0,,,0,,,0,,
15.647,0,,,0,,,0,,,3,4.226,4.004666666666666,0,,,0,,,0,,
19.174,0,,,0,,,0,,,2,3.7975000000000003,3.7975000000000003,0,,,0,,,0,,
20.213,0,,,0,,,0,,,2,3.7295,3.7295,0,,,0,,,0,,
23.183,0,,,0,,,0,,,2,3.9450000000000003,3.9450000000000003,0,,,0,,,0,,
26.645,0,,,0,,,0,,,2,4.016,4.016,0,,,0,,,0,,
27.808,0,,,0,,,0,,,2,3.645,3.645,0,,,0,,,0,,
29.174,0,,,0,,,0,,,2,3.87,3.87,0,,,0,,,0,,
30.954,0,,,0,,,0,,,2,3.686,3.686,0,,,0,,,0,,
32.653,0,,,0,,,0,,,2,4.2955000000000005,4.2955000000000005,0,,,0,,,0,,
41.248,0,,,0,,,0,,,2,3.871,3.871,0,,,0,,,0,,
43.997,0,,,0,,,0,,,2,3.7344999999999997,3.7344999999999997,0,,,0,,,0,,
46.498,0,,,0,,,0,,,2,3.081,3.081,0,,,0,,,0,,
48.98,0,,,0,,,0,,,2,2.0534999999999997,2.0534999999999997,0,,,0,,,0,,
53.499,0,,,0,,,0,,,0,,,0,,,0,,,0,,
64.072,0,,,0,,,0,,,0,,,0,,,0,,,0,,
64.073,0,,,0,,,0,,,0,,,0,,,0,,,0,,
67.105,0,,,0,,,0,,,0,,,0,,,0,,,0,,
70.504,0,,,0,,,0,,,0,,,0,,,0,,,0,,
70.505,0,,,0,,,0,,,0,,,0,,,0,,,0,,
75.442,0,,,0,,,0,,,0,,,0,,,0,,,0,,
79.125,0,,,0,,,0,,,0,,,0,,,0,,,0,,
80.868,0,,,0,,,0,,,0,,,0,,,0,,,0,,
82.28,0,,,0,,,0,,,0,,,0,,,0,,,0,,
82.338,0,,,0,,,0,,,0,,,0,,,0,,,0,,
83.037,0,,,0,,,0,,,0,,,0,,,0,,,0,,
83.722,0,,,0,,,0,,,0,,,0,,,0,,,0,,
83.723,0,,,0,,,0,,,0,,,0,,,0,,,0,,
87.008,0,,,0,,,0,,,0,,,0,,,0,,,0,,
89.269,0,,,0,,,0,,,0,,,0,,,0,,,0,,
91.188,0,,,0,,,0,,,0,,,0,,,0,,,0,,
91.847,0,,,0,,,0,,,0,,,0,,,0,,,0,,
94.317,0,,,0,,,0,,,0,,,0,,,0,,,0,,
97.698,0,,,0,,,0,,,0,,,0,,,0,,,0,,
101.695,0,,,0,,,0,,,0,,,0,,,0,,,0,,
104.083,0,,,0,,,0,,,0,,,0,,,0,,,0,,
110.417,0,,,0,,,0,,,0,,,0,,,0,,,0,,
113.508,0,,,0,,,0,,,0,,,0,,,0,,,0,,
116.14,0,,,0,,,0,,,0,,,0,,,0,,,0,,
117.471,0,,,0,,,0,,,0,,,0,,,0,,,0,,
119.071,0,,,0,,,0,,,0,,,0,,,0,,,0,,
125.01,0,,,0,,,0,,,0,,,0,,,0,,,0,,
130.273,0,,,0,,,0,,,0,,,0,,,0,,,0,,
131.422,0,,,0,,,0,,,0,,,0,,,0,,,0,,
131.888,0,,,0,,,0,,,0,,,0,,,0,,,0,,
132.417,0,,,0,,,0,,,0,,,0,,,0,,,0,,
133.204,0,,,0,,,0,,,0,,,0,,,0,,,0,,
144.731,0,,,0,,,0,,,0,,,0,,,0,,,0,,
163.166,0,,,0,,,0,,,0,,,0,,,0,,,0,,
164.241,0,,,0,,,0,,,0,,,0,,,0,,,0,,
172.225,0,,,0,,,0,,,0,,,0,,,0,,,0,,
178.413,0,,,0,,,0,,,0,,,0,,,0,,,0,,
183.588,0,,,0,,,0,,,0,,,0,,,0,,,0,,
193.922,0,,,0,,,0,,,0,,,0,,,0,,,0,,
238.07,0,,,0,,,0,,,0,,,0,,,0,,,0,,
