rel_enh,backend,preset,rel_prep,sr_in,sr_out,dur_in_s,dur_out_s,peak_in_dbfs,peak_out_dbfs,delta_peak_db,rms_in_dbfs,rms_out_dbfs,delta_rms_db,clip_in_pct,clip_out_pct,delta_clip_pct,crest_in,crest_out,delta_crest,flat_in,flat_out,delta_flat,centroid_in_hz,centroid_out_hz,delta_centroid_hz,lufs_in,lufs_out,delta_lufs,srmr_in,srmr_out,delta_srmr,error,vad_speech_ratio_in,vad_speech_ratio_out,delta_vad_speech_ratio,vad_seg_count_in,vad_seg_count_out,delta_vad_seg_count,vad_seg_mean_dur_in_s,vad_seg_mean_dur_out_s,delta_vad_seg_mean_dur_s,speech_level_in_dbfs,speech_level_out_dbfs,delta_speech_level_db,nonspeech_level_in_dbfs,nonspeech_level_out_dbfs,delta_nonspeech_level_db,speech_nonspeech_snr_in_db,speech_nonspeech_snr_out_db,delta_speech_nonspeech_snr_db,emb_temporal_smoothness_in,emb_temporal_smoothness_out,delta_emb_temporal_smoothness,num_clusters_in,num_clusters_out,silhouette_in,silhouette_out,db_index_in,db_index_out,calinski_harabasz_in,calinski_harabasz_out,between_cluster_min_cos_in,between_cluster_min_cos_out,cluster_size_cv_in,cluster_size_cv_out,rtf_out,dnsmos_sig_out,dnsmos_bak_out,dnsmos_ovrl_out
enh/base/medium/data/raw/2025/09/08/072ff6bbce11674348eacd0547b155a5699af26be74472800e3e79bf4c8708fe__250805_1410.wav,base,medium,prep/data/raw/2025/09/08/072ff6bbce11674348eacd0547b155a5699af26be74472800e3e79bf4c8708fe__250805_1410.wav,44100,44100,70.50449,70.50449,-1.0,-1.0,0.0,-19.637,-19.704,-0.067,0.0,0.0,0.0,8.547379,8.613806,0.066427,0.000481,0.010744,0.010263,998.823,958.071,-40.752,-18.113,-18.134,-0.021,9.904367,9.968337,0.06397,,,,,,,,,,,,,,,,,,,,0.719326,0.656961,-0.062365,23,30,0.215442,0.21478,1.406038,1.242263,4.350191,4.166426,0.187722,0.145637,1.161091,0.972569,,,,
enh/base/medium/data/raw/2025/09/08/115ad6db883bea6a592e6e16b74fd05f9761d2a212181ad691ea50e1da168896__250820_1542_01.wav,base,medium,prep/data/raw/2025/09/08/115ad6db883bea6a592e6e16b74fd05f9761d2a212181ad691ea50e1da168896__250820_1542_01.wav,44100,44100,43.996735,43.996735,-1.0,-1.0,0.0,-19.644,-20.426,-0.782,0.0,0.0,0.0,8.554827,9.360811,0.805984,0.000662,0.015116,0.014454,848.894,884.747,35.853,-18.6,-19.193,-0.593,11.008009,10.700207,-0.307802,,,,,,,,,,,,,,,,,,,,0.707408,0.694303,-0.013105,15,18,0.18926,0.147663,1.324843,1.239428,3.601258,3.2351,0.181648,0.191702,1.040278,1.02192,,,,
enh/base/medium/data/raw/2025/09/08/12084eba1a10ed7454625cd2739c2de098eb3f9270247626e60000aa72c44a2c__250820_1933.wav,base,medium,prep/data/raw/2025/09/08/12084eba1a10ed7454625cd2739c2de098eb3f9270247626e60000aa72c44a2c__250820_1933.wav,44100,44100,67.105306,67.105306,-1.0,-1.0,0.0,-20.954,-21.992,-1.038,0.0,0.0,0.0,9.947254,11.210357,1.263103,0.000432,0.009896,0.009464,747.98,810.447,62.467,-20.29,-21.039,-0.749,10.389561,12.305872,1.916311,,,,,,,,,,,,,,,,,,,,0.740298,0.68745,-0.052848,14,23,0.11805,0.108988,1.486495,1.36024,3.581001,3.284553,0.200411,0.238425,1.554619,1.003866,,,,
enh/base/medium/data/raw/2025/09/08/138515212831618930e641ff8b2effdc07997d1e4995e330554f72d0d472924b__250820_1548.wav,base,medium,prep/data/raw/2025/09/08/138515212831618930e641ff8b2effdc07997d1e4995e330554f72d0d472924b__250820_1548.wav,44100,44100,91.187551,91.187574,-1.0,-1.0,0.0,-21.086,-21.81,-0.724,0.0,0.0,0.0,10.099336,10.977624,0.878288,0.000673,0.007918,0.007245,877.916,739.673,-138.243,-19.926,-20.379,-0.453,11.165916,12.010509,0.844593,,,,,,,,,,,,,,,,,,,,0.703458,0.704697,0.001239,29,28,0.096462,0.145853,1.454508,1.524449,3.620681,3.909522,0.26336,0.228681,1.262493,1.009125,,,,
enh/base/medium/data/raw/2025/09/08/1469c6d5be16c5794f75f8b5ee50074b4d498b34ee9f4a15e52634057e13e3cb__250728_0911.wav,base,medium,prep/data/raw/2025/09/08/1469c6d5be16c5794f75f8b5ee50074b4d498b34ee9f4a15e52634057e13e3cb__250728_0911.wav,44100,44100,163.16551,163.165533,-1.0,-1.0,0.0,-19.565,-19.292,0.273,0.0,0.0,0.0,8.476537,8.214889,-0.261648,0.001631,0.015395,0.013764,1022.761,1048.111,25.35,-18.111,-17.759,0.352,10.855817,11.047659,0.191842,,,,,,,,,,,,,,,,,,,,0.721381,0.682722,-0.038659,28,39,0.140983,0.13169,1.726065,1.588379,6.042894,5.338378,0.214146,0.058356,1.283201,1.251491,,,,
enh/base/medium/data/raw/2025/09/08/16543449086b8cb78ed5bafebbec6a5cf54c0ce74d1702b6eb3be91fade9a8d5__250728_0924.wav,base,medium,prep/data/raw/2025/09/08/16543449086b8cb78ed5bafebbec6a5cf54c0ce74d1702b6eb3be91fade9a8d5__250728_0924.wav,44100,44100,131.421837,131.421859,-1.0,-1.0,0.0,-20.582,-21.258,-0.676,0.0,0.0,0.0,9.529988,10.301268,0.77128,0.001449,0.007681,0.006232,875.152,931.397,56.245,-19.087,-19.33,-0.243,10.972291,11.411334,0.439043,,,,,,,,,,,,,,,,,,,,0.731271,0.662572,-0.068699,25,37,0.097557,0.12522,1.553029,1.533781,4.437809,4.643534,0.169231,0.066458,1.564697,1.130476,,,,
enh/base/medium/data/raw/2025/09/08/166ef3101465e2cc2ba05cae7010abdfa2d78de9525bb90b17889011a8cb25d5__250728_0938.wav,base,medium,prep/data/raw/2025/09/08/166ef3101465e2cc2ba05cae7010abdfa2d78de9525bb90b17889011a8cb25d5__250728_0938.wav,44100,44100,130.272653,130.272653,-1.0,-1.0,0.0,-19.708,-19.979,-0.271,0.0,0.0,0.0,8.617578,8.891577,0.273999,0.001189,0.009437,0.008248,871.95,883.434,11.484,-18.584,-18.761,-0.177,11.611293,11.992634,0.381341,,,,,,,,,,,,,,,,,,,,0.749649,0.698638,-0.051011,29,33,0.094292,0.125878,1.471606,1.625944,3.89324,4.490301,0.261239,0.121535,2.187577,1.352341,,,,
enh/base/medium/data/raw/2025/09/08/190b5750faeba13be9107a4b7d790a839b2cf992fd2aeb01be729c76e81bbf57__250728_0919.wav,base,medium,prep/data/raw/2025/09/08/190b5750faeba13be9107a4b7d790a839b2cf992fd2aeb01be729c76e81bbf57__250728_0919.wav,44100,44100,95.007347,94.31737,-1.0,-1.0,0.0,-19.53,-19.191,0.339,0.0,0.0,0.0,8.442766,8.119865,-0.322901,0.001885,0.016544,0.014659,1111.084,1185.512,74.428,-18.262,-17.844,0.418,10.898335,11.62891,0.730575,,,,,,,,,,,,,,,,,,,,0.750118,0.702688,-0.04743,17,22,0.139824,0.146865,1.643284,1.669622,5.056126,4.54962,0.267567,0.225871,1.424809,0.833108,,,,
enh/base/medium/data/raw/2025/09/08/2279f1beb83a110a79e6272148ef3502ef281d8bed794468b2e2d64bff2d176b__250820_1541_01.wav,base,medium,prep/data/raw/2025/09/08/2279f1beb83a110a79e6272148ef3502ef281d8bed794468b2e2d64bff2d176b__250820_1541_01.wav,44100,44100,10.848367,10.84839,-1.437,-1.278,0.159,-20.063,-19.962,0.101,0.0,0.0,0.0,8.536687,8.593723,0.057036,0.000568,0.013795,0.013227,758.919,936.452,177.533,-19.889,-19.867,0.022,10.284198,12.083452,1.799254,,,,,,,,,,,,,,,,,,,,0.737194,0.712462,-0.024732,5,7,0.127117,0.144367,1.028401,0.920104,1.800681,2.194401,0.408901,0.309871,0.89707,0.605693,,,,
enh/base/medium/data/raw/2025/09/08/26b514c690c6e87e899308505339df2ae59dd593e0286d7b705fc9daca9767a5__250805_1413.wav,base,medium,prep/data/raw/2025/09/08/26b514c690c6e87e899308505339df2ae59dd593e0286d7b705fc9daca9767a5__250805_1413.wav,44100,44100,238.550204,238.070204,-1.0,-1.0,0.0,-22.908,-22.445,0.463,0.0,0.0,0.0,12.456279,11.809852,-0.646427,0.003896,0.013408,0.009512,1097.887,955.876,-142.011,-21.543,-21.081,0.462,9.775405,9.866079,0.090674,,,,,,,,,,,,,,,,,,,,0.720759,0.67323,-0.047529,40,57,0.075673,0.095666,1.645379,1.585486,5.202598,4.732321,0.105316,0.118749,1.924732,1.586633,,,,
